# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "4" "-C" "-p" "-t" "gene" "-g" "Dbxref" "-a" "../O_europaea_v1_genomic.gff" "-o" "out_featuresCount_geneID.txt" "SRR1525051" "SRR1525052" "SRR1525086" "SRR1525087" "SRR1525113" "SRR1525114" "SRR1525213" "SRR1525214" "SRR1525224" "SRR1525226" "SRR1525436" "SRR1525437" 
Geneid	SRR1525051	SRR1525052	SRR1525086	SRR1525087	SRR1525113	SRR1525114	SRR1525213	SRR1525214	SRR1525224	SRR1525226	SRR1525436	SRR1525437
111390706	0	0	0	0	0	0	0	0	0	1	0	0
111390690	1041	1004	1847	1688	666	711	416	380	1085	1107	1287	1314
111390696	29	38	17	16	20	18	18	27	1227	1281	2131	2079
111390697	16	25	20	25	6	7	11	9	17	28	76	75
111390688	999	1049	955	958	782	769	217	203	962	936	1587	1524
111390708	0	0	0	0	0	0	0	0	0	0	0	0
111390691	1353	1481	1253	1249	945	968	377	431	1384	1309	1012	1014
111390693	7	5	6	11	1	1	0	2	6	9	4	4
111390692	9	14	17	21	10	7	2	2	27	22	16	23
111390741	1	1	0	0	0	0	0	0	0	1	0	1
111390745	7	6	1	2	9	8	2	3	6	6	13	12
111390743	41	43	33	49	43	47	26	20	25	22	89	92
111390728	0	0	0	0	0	0	0	0	0	0	0	0
111390729	0	0	0	0	1	2	0	0	0	0	0	0
111390730	0	0	0	0	0	0	0	0	1	0	0	0
111390744	82	100	5	5	13	4	1	4	30	36	818	758
111390740	427	433	58	59	45	51	56	53	431	478	369	312
111390735	1765	1749	1307	1339	2281	2273	642	636	647	641	2959	2853
111390738	207	217	10	4	34	27	58	62	1563	1518	953	911
111390734	396	462	205	256	196	203	129	130	451	462	562	549
111390739	118	131	222	245	72	97	40	36	207	207	284	277
111390736	243	292	266	250	197	169	72	88	241	253	517	463
111390733	0	0	0	0	0	0	0	0	0	0	0	0
111390746	2	4	15	10	3	1	1	0	0	0	0	0
111390747	0	0	1	0	0	0	0	0	7	9	67	59
111390758	70	59	29	34	34	33	17	14	42	38	79	48
111390754	217	251	378	399	244	242	85	95	300	321	584	549
111390760	223	221	247	222	167	145	55	56	378	401	542	502
111390757	420	399	199	208	49	54	72	73	257	262	583	586
111390772	106	107	193	188	108	115	28	26	130	134	219	208
111390761	1	2	0	1	0	0	0	0	2	3	0	0
111390762	0	0	0	0	0	0	0	0	0	0	0	0
111390756	0	0	0	1	0	0	0	0	0	0	0	0
111390766	1	0	1	0	3	0	0	0	1	1	12	8
111390749	133	124	131	135	61	67	52	43	62	53	101	136
111390748	78	78	120	118	17	18	3	7	0	0	0	0
111390752	191	219	124	136	118	124	52	41	186	168	335	281
111390767	12	10	15	21	6	6	0	4	51	37	62	52
111390751	124	130	113	130	72	71	31	36	446	434	367	334
111390753	1195	1256	1203	1200	817	823	254	246	1075	1106	1343	1407
111390755	185	192	140	170	56	60	30	37	194	171	434	440
111390768	0	0	0	0	0	0	0	0	0	0	0	0
111390770	2	3	0	3	1	1	1	0	2	0	0	2
111390771	2	1	0	3	1	4	0	0	1	3	0	1
111390775	56	45	72	59	43	35	27	26	66	45	147	129
111390774	140	167	149	144	80	88	62	81	148	144	250	262
111390776	77	65	34	41	17	21	6	2	35	43	84	83
111390782	291	285	111	132	81	64	139	139	623	622	766	732
111390785	444	416	266	284	95	99	15	18	396	415	642	666
111390786	17	14	5	8	3	9	1	5	20	24	21	23
111390780	1	1	1	0	2	1	1	0	0	1	0	1
111390781	70	80	4	1	28	15	67	43	2	3	97	123
111390787	984	986	401	396	156	190	80	79	525	527	384	334
111390811	24	38	0	1	34	33	41	37	23	17	79	104
111390800	886	877	470	458	466	443	183	193	802	809	1720	1767
111390779	2315	2369	4213	4065	1553	1601	1064	1006	2356	2231	4234	4263
111390799	338	340	586	614	372	351	127	108	579	575	1017	954
111390809	41	37	24	20	16	22	28	44	2	0	0	0
111390790	0	0	0	0	0	0	0	0	0	0	0	0
111390791	0	0	0	0	1	0	0	0	0	0	0	3
111390783	1177	1217	525	507	322	371	139	156	1126	1087	7625	7225
111390792	60	45	16	11	62	62	7	9	62	53	35	36
111390793	78	95	10	8	5	15	8	3	66	55	169	169
111390789	103	102	61	54	28	31	19	13	90	87	209	201
111390810	35	34	3	4	32	28	55	52	17	19	79	82
111390777	545	512	543	520	438	393	210	191	196	185	727	770
111390778	866	906	291	325	208	220	46	53	3138	3087	1230	1275
111390788	963	913	2734	2688	1257	1155	170	140	3079	3031	1102	1010
111390794	0	0	0	0	0	0	0	0	0	0	0	0
111390796	1	3	2	1	1	4	2	0	17	13	0	1
111390807	732	768	597	618	826	832	390	395	935	960	1337	1321
111390802	105	104	11	13	95	92	73	72	49	50	272	265
111390797	0	0	0	0	0	0	0	0	0	0	0	0
111390798	0	0	0	0	0	0	0	0	0	0	0	0
111390803	109	101	64	41	39	34	25	15	61	57	276	295
111390812	22	15	18	16	13	6	3	3	15	17	11	12
111390806	437	407	1002	900	618	553	228	204	311	335	765	731
111390804	8	12	2	3	5	4	7	4	576	575	421	438
111390814	1046	1063	978	943	460	420	264	268	885	886	1325	1295
111390817	0	0	0	0	0	0	0	0	0	0	0	0
111390818	0	0	0	0	0	0	0	0	0	0	0	0
111390813	0	0	0	0	1	1	0	0	0	0	0	0
111390820	0	0	0	0	0	0	0	0	0	0	0	0
111390815	0	0	0	0	0	0	0	0	0	0	0	0
111390822	463	426	75	81	26	27	241	215	17	10	61	65
111390823	0	0	0	0	0	0	0	0	0	0	0	0
111390825	0	0	0	0	0	0	0	0	0	0	0	0
111390826	0	0	1	0	0	0	0	0	0	1	1	1
111390834	2	1	2	2	0	0	0	0	4	0	1	1
111390833	0	0	0	0	0	0	0	0	2	4	22	20
111390827	0	1	3	1	3	3	1	0	4	2	1	0
111390828	0	0	1	0	0	0	0	0	0	1	0	0
111390829	0	0	0	0	0	0	0	0	0	0	0	0
111390830	0	0	0	0	0	0	0	0	0	0	0	0
111390835	97	96	122	107	55	65	41	28	71	89	248	244
111390867	15	16	8	12	5	2	3	7	0	3	2	3
111390866	15	18	10	6	3	6	4	3	122	109	125	117
111390858	16	13	11	15	2	7	3	4	16	11	16	27
111390837	13402	13344	3988	4217	4466	4519	4799	4870	7139	7040	9458	9199
111390838	3000	2960	1223	1205	1334	1301	2055	2010	1704	1732	2066	2056
111390862	123	106	143	149	47	55	21	12	188	194	404	408
111390840	533	506	146	146	54	73	267	250	821	840	1134	1093
111390863	56	55	7	7	10	6	12	27	108	96	199	175
111390836	35	36	4	1	18	11	24	12	1	4	6	5
111390853	94	96	24	24	22	22	17	17	19	24	44	41
111390854	292	329	161	145	105	75	79	73	117	121	302	257
111390868	1	0	0	0	0	0	0	0	1	0	3	4
111390845	1	2	1	1	1	0	0	1	1	2	3	1
111390846	0	0	0	0	0	0	0	0	0	0	0	0
111390847	8	7	7	1	21	26	7	7	4	3	14	11
111390839	774	765	1239	1118	470	514	223	241	870	891	1394	1505
111390849	3	3	1	1	3	2	0	1	0	0	2	1
111390861	1171	1095	806	829	647	663	275	257	614	596	1143	1111
111390869	9821	9744	884	902	823	825	618	522	2996	3054	2091	2079
111390864	1230	1184	1027	1005	876	877	193	191	1495	1554	2294	2332
111390842	169	172	222	213	88	88	31	25	181	194	585	595
111390856	10	15	9	8	6	4	2	2	39	37	94	107
111390857	18	10	3	8	18	14	1	1	15	23	38	31
111390855	13	7	15	15	7	8	3	3	4	9	3	5
111390859	84	92	61	53	65	77	25	22	329	321	265	223
111390850	0	0	0	0	0	0	0	0	0	0	0	0
111390852	96	76	4	8	137	147	71	54	42	42	22	26
111390893	0	0	0	0	0	0	0	0	0	0	0	0
111390879	2	2	1	2	2	1	0	0	2	3	5	3
111390883	0	0	6	1	0	0	0	0	2	1	3	3
111390884	0	0	1	1	0	0	0	0	2	1	0	0
111390885	0	0	0	0	0	1	0	0	0	0	0	0
111390892	83	68	77	66	66	57	11	9	49	60	128	126
111390891	343	350	341	339	114	128	54	61	223	214	600	631
111390887	3	2	11	14	9	4	1	1	8	9	27	22
111390873	434	466	296	270	88	116	78	96	409	421	717	694
111390876	81	106	67	55	53	33	18	18	122	127	193	180
111390894	0	0	0	0	0	0	0	0	0	0	0	0
111390878	231	210	124	105	422	447	86	81	105	116	246	265
111390874	273	270	250	291	142	148	60	64	229	237	427	405
111390871	119	134	256	234	153	167	55	62	46	44	139	146
111390872	6	3	19	24	19	14	4	6	6	2	16	15
111390881	1	1	0	0	0	0	0	0	0	0	0	0
111390889	187	170	10	16	10	15	6	8	28	28	60	62
111390877	204	194	99	109	133	138	44	43	145	144	165	180
111390916	450	474	407	368	184	180	74	86	342	355	754	724
111390910	792	821	388	385	366	319	238	170	811	878	1023	1049
111390901	0	0	0	0	0	0	0	0	0	0	0	0
111390906	0	0	0	0	0	0	0	0	1	1	6	3
111390911	4	12	79	62	14	17	2	3	10	11	28	26
111390900	33	41	10	15	12	8	6	10	75	66	145	129
111390897	722	703	1000	1007	292	290	100	111	1319	1354	1353	1250
111390902	11456	11513	4965	5043	4170	4167	4832	4802	1620	1720	1242	1329
111390904	1182	1174	1597	1521	803	843	604	614	2110	2114	2444	2300
111390905	50	56	6	4	33	27	8	13	0	0	2	2
111390907	60	56	63	65	37	36	7	13	22	22	80	60
111390908	1072	1081	1974	1964	958	1029	1151	1042	107	95	77	52
111390895	59	75	36	23	13	18	11	3	7372	7258	2018	1966
111390914	575	578	315	292	223	219	216	185	819	834	966	929
111390912	43	27	23	28	17	16	8	7	38	42	79	48
111390896	1	1	1	0	0	0	0	0	1	0	10	3
111390915	12	7	0	0	0	0	22	16	9	4	3	5
111390913	0	0	0	0	0	0	0	0	0	0	0	0
111390903	257	244	303	335	160	152	75	76	274	238	329	368
111390917	222	203	50	48	44	29	20	22	5040	4930	1313	1305
111390918	48	51	17	20	7	14	4	5	1084	1008	485	486
111390926	200	184	33	39	12	12	126	126	2	1	36	27
111390927	72	60	101	103	45	46	6	7	53	34	56	51
111390922	1381	1403	1279	1237	362	299	114	111	1307	1384	1026	969
111390920	87	91	208	182	116	113	22	17	127	146	232	201
111390923	0	0	0	0	0	0	0	0	2	5	21	28
111390925	77	91	98	100	36	32	24	18	47	29	160	159
111390919	252	255	176	165	155	191	55	50	345	345	534	543
111390928	1364	1376	598	592	470	397	318	314	611	632	1052	1020
111390929	0	0	0	0	0	0	0	0	0	0	0	0
111390933	0	0	0	0	0	0	0	0	0	0	0	0
111390934	67	63	43	39	97	77	34	32	20	30	69	76
111390938	72	94	18	20	32	33	402	394	7	8	52	49
111390930	744	755	786	772	320	294	118	133	1868	1743	1864	1870
111390931	634	646	8	4	55	66	266	252	1737	1721	5719	5600
111390940	3	3	1	1	1	0	0	3	0	0	1	2
111390941	5380	5307	425	464	866	884	676	663	8431	8408	6652	6579
111390936	317	327	102	83	95	87	78	88	305	356	760	788
111390937	77	83	47	45	35	33	22	27	224	220	296	313
111390935	323	349	194	193	130	132	119	127	301	325	588	554
111390939	79	78	0	1	55	79	30	42	42	26	22	26
111390943	318	297	99	104	155	148	130	126	151	160	245	256
111390944	3	2	0	0	1	0	0	2	0	0	0	1
111390945	0	0	0	0	0	0	0	0	0	0	0	0
111390951	0	0	0	0	0	0	0	0	0	0	0	0
111390975	7	9	0	0	1	5	2	4	6	2	5	5
111390966	7	9	1	1	1	1	0	0	4	3	14	7
111390976	1217	1253	1340	1345	646	617	412	437	2550	2551	3320	3175
111390973	123	146	38	38	60	59	30	34	44	50	189	181
111390958	2	3	2	4	1	0	1	0	191	250	152	141
111390968	80	77	22	20	65	65	24	24	32	32	135	128
111390969	35	30	189	165	24	22	38	36	19531	19531	17307	16796
111390959	490	517	398	386	241	256	128	133	578	586	724	777
111390971	827	818	3186	3111	1252	1251	284	271	544	563	1680	1652
111390962	159	132	38	36	140	140	101	96	160	156	388	384
111390967	0	3	3	3	5	4	1	0	24	22	16	20
111390965	0	0	1	0	3	2	0	0	10	8	6	3
111390963	144	137	2	1	78	96	5	4	5	5	1	1
111390946	369	357	493	525	599	579	173	173	348	333	563	577
111390948	414	437	522	508	210	220	98	105	482	468	891	831
111390974	9	4	4	4	0	0	0	1	30	45	32	34
111390961	402	391	321	335	117	115	72	64	328	322	904	893
111390960	0	0	1	1	0	0	1	0	0	0	0	0
111390970	790	807	634	604	452	438	188	184	588	563	667	583
111390949	255	305	334	369	90	115	74	78	337	304	639	636
111390947	955	1009	4311	4319	535	540	552	588	3251	3316	3156	3123
111390980	2	0	82	80	2	10	0	0	3	1	5	11
111390981	0	0	0	0	0	0	0	0	0	0	3	0
111390982	1684	1686	1582	1557	403	381	54	48	10489	10455	1201	1114
111390985	798	821	801	882	742	773	319	314	400	373	547	497
111390992	0	0	0	0	0	0	0	0	0	0	0	0
111390990	8	10	23	27	0	2	2	4	23	23	2	3
111390988	888	912	1068	972	508	504	331	321	1014	968	2045	1954
111390987	1414	1445	1249	1232	602	658	256	281	1209	1142	1364	1286
111390991	0	1	0	0	0	0	0	1	1	0	8	12
111390984	55	40	64	65	29	41	9	8	623	600	749	774
111390983	630	643	464	431	100	107	600	611	0	2	20	25
111390993	62	85	21	11	55	49	10	8	5	7	101	120
111390994	189	190	962	883	2600	2660	10650	10635	218	267	281	322
111390997	73	78	83	90	59	61	8	16	90	83	128	113
111391022	10	8	22	14	5	4	0	2	7	11	16	21
111391005	15	9	12	17	12	7	2	4	17	10	101	65
111391004	522	517	594	536	253	231	65	75	623	529	1745	1732
111391021	71	72	31	31	32	21	3	3	70	63	132	145
111391003	73	88	84	87	47	53	22	24	87	80	151	172
111391002	69	53	35	31	27	19	23	19	88	84	45	54
111391006	3	1	10	6	1	2	1	1	2	1	2	1
111391027	18	16	4	2	5	7	3	6	107	119	81	82
111391028	27	31	41	56	13	14	5	4	334	297	197	187
111390995	893	790	583	595	257	269	219	211	651	600	550	538
111391019	7	5	1	6	0	0	0	0	3	4	3	6
111391007	298	257	184	183	104	108	48	43	328	298	311	311
111391018	0	0	0	0	0	0	0	0	0	0	0	0
111390998	782	727	584	630	169	175	166	176	554	537	1606	1629
111391020	203	224	312	295	198	183	59	74	137	134	246	269
111391008	213	184	58	54	74	73	64	70	232	207	274	282
111391009	0	0	0	0	0	0	0	0	0	0	0	0
111391023	2901	2879	6373	6529	2317	2283	1102	1077	1141	1209	139	120
111391011	0	0	0	0	0	0	0	0	0	0	0	0
111391024	123	118	42	44	38	33	73	71	145	144	292	277
111391025	42	48	0	0	12	7	2	2	33	30	50	39
111391026	113	118	51	63	34	35	13	9	73	89	178	148
111391030	221	191	127	128	49	42	21	15	111	118	351	341
111391013	146	147	133	122	37	34	19	20	696	644	1471	1486
111391014	0	0	0	0	0	0	0	0	0	0	0	0
111391001	1132	1233	1130	1041	773	793	494	492	1011	1022	1673	1654
111391015	0	0	0	0	0	0	0	0	0	0	0	0
111391000	167	186	303	304	111	115	44	41	214	194	550	607
111391016	0	0	0	0	0	0	0	0	0	0	0	0
111391017	0	0	0	0	0	0	0	0	0	0	0	0
111390996	243	266	167	180	280	282	105	115	287	301	133	129
111391033	1	0	3	4	4	2	3	0	123	139	117	119
111391034	15	15	7	3	3	2	4	6	17	14	8	21
111391035	423	390	789	810	320	312	115	114	353	329	731	733
111391049	71	75	889	927	128	148	25	27	12	11	3	2
111391048	0	0	0	1	0	1	0	0	0	0	0	0
111391039	39	41	69	77	27	22	9	14	213	196	76	71
111391046	34	30	783	720	33	40	0	0	2	0	1	0
111391047	4	3	500	548	13	20	3	2	0	1	0	0
111391038	1	0	0	0	1	0	0	0	1	2	0	1
111391036	45	45	19	33	7	15	1	5	63	76	52	60
111391040	0	0	0	0	0	0	0	0	0	0	0	0
111391041	0	0	0	0	0	0	0	0	0	0	0	0
111391043	0	1	0	0	0	0	0	0	0	0	0	0
111391044	0	0	0	0	0	0	0	0	0	0	0	0
111391051	0	0	0	0	0	0	0	0	0	0	0	0
111391053	0	0	0	0	0	0	0	0	0	0	0	1
111391055	68	66	75	63	31	37	9	8	161	145	1039	981
111391063	1	0	0	0	0	0	1	0	0	0	0	5
111391062	65	68	54	49	40	36	32	26	137	137	347	357
111391079	599	652	1018	1018	1028	1030	289	287	630	611	916	792
111391075	22	8	1	4	7	3	5	9	4	4	15	14
111391057	73	79	42	47	47	56	55	38	64	62	101	77
111391078	65	57	14	16	11	10	1	2	45	39	111	106
111391081	503	394	554	539	340	363	127	161	398	390	607	581
111391067	0	0	0	0	0	0	0	0	1	0	0	0
111391082	614	657	112	96	183	226	186	171	288	261	329	363
111391083	16	20	62	62	8	11	5	6	337	310	489	499
111391059	245	222	24	23	306	289	94	100	130	140	188	176
111391068	3	2	3	5	1	1	1	0	4	1	3	2
111391060	0	0	0	0	0	0	0	0	12	21	228	243
111391058	111	124	130	113	72	73	22	22	62	86	297	299
111391069	0	0	0	0	0	0	0	0	0	0	0	0
111391061	51	55	158	119	70	101	53	43	97	93	48	54
111391072	1	1	0	0	0	0	0	0	0	0	1	2
111391080	267	263	19	20	34	35	23	26	138	153	208	198
111391071	3	3	1	3	1	6	1	0	0	3	1	1
111391084	1	2	0	0	1	2	15	7	0	0	0	0
111391074	716	681	339	355	277	253	197	186	457	439	498	488
111391054	1492	1484	466	477	542	523	566	598	1194	1184	2151	2083
111391056	3381	3380	3212	3252	1135	1084	2387	2390	573	549	471	515
111391077	17	18	3162	3233	1780	1811	268	244	0	3	0	0
111391086	6	11	3	5	0	0	2	2	2	4	152	133
111391087	0	0	0	0	0	0	0	0	0	0	0	0
111391088	0	0	0	0	0	0	0	0	0	0	0	0
111391089	0	0	0	0	0	0	0	0	175	183	62	57
111391096	244	216	196	216	105	93	116	125	96	115	362	355
111391105	985	944	1018	1048	783	796	244	238	1110	1137	1439	1436
111391097	1558	1527	930	929	752	766	515	481	845	796	1470	1497
111391112	0	0	0	0	0	0	0	0	567	572	101	157
111391098	704	725	803	773	510	598	257	264	862	907	1403	1323
111391101	517	512	527	491	151	171	154	166	441	458	992	967
111391106	0	0	0	0	0	0	0	0	0	0	0	0
111391107	0	0	0	0	0	0	0	0	0	0	0	0
111391114	0	1	0	0	0	0	0	0	3	1	1	0
111391093	652	662	383	362	132	107	94	97	1517	1511	823	859
111391113	12	13	14	8	13	26	33	32	14	19	4	5
111391102	250	286	46	62	83	81	489	436	111	114	164	192
111391104	43	49	13	13	30	16	13	14	50	58	65	83
111391099	506	548	8738	8860	1473	1309	287	247	1215	1174	640	610
111391095	1410	1462	126	119	102	105	35	39	427	467	311	332
111391108	186	195	472	512	337	336	52	70	183	207	321	301
111391090	220	204	50	55	272	240	35	39	61	53	127	119
111391091	147	149	91	96	53	64	36	37	1511	1434	1501	1502
111391103	135	131	178	187	49	67	20	19	82	77	354	345
111391109	0	0	0	0	0	0	0	0	0	0	0	0
111391110	0	0	0	0	0	0	0	0	0	0	0	0
111391111	253	238	919	921	556	601	127	125	22	21	58	68
111391115	25	25	9	8	10	11	5	4	23	23	26	23
111391121	0	0	0	0	0	0	0	0	0	0	0	0
111391118	2	0	1	0	0	0	0	1	1	0	0	0
111391122	0	0	0	0	0	0	0	0	0	0	0	0
111391117	2	2	0	2	0	1	0	0	33	31	37	48
111391124	0	0	0	0	0	0	0	0	5	2	6	5
111391126	21	26	23	28	35	49	27	24	26	28	38	47
111391125	0	1	1	0	0	0	0	0	0	1	0	0
111391142	567	657	967	948	677	677	223	239	552	522	1074	1018
111391150	503	499	24	17	59	55	88	72	38	41	31	23
111391127	0	2	3	2	1	2	0	0	1	4	7	0
111391128	0	0	0	0	0	0	0	0	0	0	0	0
111391129	0	0	0	0	0	0	0	0	0	0	0	0
111391141	423	429	1012	997	461	471	232	211	372	401	658	642
111391143	751	725	249	246	257	240	195	172	441	429	954	1021
111391148	23	21	13	17	10	15	1	1	10	20	34	38
111391137	564	601	1118	1141	818	864	232	213	740	747	1043	982
111391138	1277	1288	1722	1656	884	925	480	494	615	608	1429	1485
111391139	156	155	188	180	95	88	32	34	2063	2140	2109	2064
111391136	512	589	314	345	154	153	115	126	420	471	633	623
111391144	130	134	48	70	66	64	50	56	174	177	128	126
111391130	25	35	34	32	35	31	32	36	11	9	5	3
111391131	14	8	0	1	6	3	14	7	10	14	5	3
111391132	9	5	0	0	2	2	0	1	1	0	2	5
111391146	101	88	5	6	16	12	16	11	0	0	0	0
111391134	0	0	0	0	0	0	0	0	0	0	0	0
111391151	16	19	18	15	9	7	0	3	21	14	21	24
111391193	68	71	322	301	60	53	43	49	43	54	67	82
111391153	0	0	0	0	0	0	0	0	0	0	0	0
111391154	0	0	0	0	0	0	0	0	0	0	0	0
111391172	336	366	83	65	180	170	103	130	397	395	434	419
